Unternehmensname Latin alphabet,Bilanzsumme,Jahr,Zahlungsmittel,ROA,Eigenkapital,Kurzfristige_Verbindlichkeiten,Langfristige_Verbindlichkeiten,EK_Quote,Umsatz,Zinsschock,ABS,Zinswende_Dummy,Cash_Ratio,Groesse_Log_Bilanzsumme,Leverage,Leverage_exante,Liquidity_exante,STDebtShare,STDebtShare_exante
COMET HOLDING AG,473.578,2023,86.707,4.011,296.092,77.918,99.568,62.522,397.453,-20.407,44.581,1,0.1830891637702764,6.160316629788133,0.3747766999311623,0.4814163907076649,0.174740936993559,0.4390092739709048,0.6142838364722225
COMET HOLDING AG,531.169,2024,113.744,7.575,325.438,99.948,105.783,61.268,445.362,-33.391,50.823,1,0.2141390028409037,6.27508023802557,0.3873174074541248,0.4814163907076649,0.174740936993559,0.4858188605509135,0.6142838364722225
COMPAGNIE DES CHEMINS DE FER DU JURA (C.J.) SA,116.12,2016,5.578,0.528,12.947,6.527,96.646,11.15,33.757,-0.44,2.84,0,0.048036513951085,4.754624139156429,0.8885032724767482,0.9094737988692262,0.031183690125055,0.0632626753123394,0.0707545194764877
COMPAGNIE DES CHEMINS DE FER DU JURA (C.J.) SA,133.592,2017,5.281,0.132,13.042,6.131,114.419,9.763,12.447,-0.775,0.775,0,0.0395308102281573,4.894790379070131,0.902374393676268,0.9094737988692262,0.031183690125055,0.0508585649108253,0.0707545194764877
COMPAGNIE DES CHEMINS DE FER DU JURA (C.J.) SA,133.592,2018,5.281,0.132,13.042,6.131,114.419,9.763,34.263,-0.04,0.72,0,0.0395308102281573,4.894790379070131,0.902374393676268,0.9094737988692262,0.031183690125055,0.0508585649108253,0.0707545194764877
COMPAGNIE DES CHEMINS DE FER DU JURA (C.J.) SA,147.877,2019,1.241,0.304,13.26,11.897,122.72,8.967,7.301,1.6,2.0,0,0.0083921096587028,4.9963808471436915,0.9103308830987914,0.9094737988692262,0.031183690125055,0.0883766537658691,0.0707545194764877
COMPAGNIE DES CHEMINS DE FER DU JURA (C.J.) SA,170.705,2020,4.38,-0.296,12.728,10.638,147.339,7.456,6.275,3.62,4.9,0,0.0256582994054069,5.139936920525489,0.9254386221844704,0.9094737988692262,0.031183690125055,0.0673389164245428,0.0707545194764877
COMPAGNIE DES CHEMINS DE FER DU JURA (C.J.) SA,188.6829,2021,4.897,0.065,13.6189,18.1772,156.8868,7.218,6.393,0.25,0.25,0,0.0259535972788207,5.240067828236465,0.9278212281028116,0.9094737988692262,0.031183690125055,0.1038317415345245,0.0707545194764877
COMPAGNIE DES CHEMINS DE FER DU JURA (C.J.) SA,205.7893,2022,6.8411,0.096,13.8155,7.2497,184.7241,6.713,7.0348,22.6,64.6,1,0.0332432249878881,5.326852829822845,0.9328658001169156,0.9094737988692262,0.031183690125055,0.0377640073801737,0.0707545194764877
COMPAGNIE DES CHEMINS DE FER DU JURA (C.J.) SA,233.5568,2023,7.9077,0.089,14.0223,28.7839,190.7506,6.004,7.3464,-20.407,44.581,1,0.0338577168380453,5.453425302345283,0.9399619278907742,0.9094737988692262,0.031183690125055,0.1311133329841095,0.0707545194764877
